Bowl,Date,Location,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
318,Liberty Bowl,12/27/1990,"Memphis, TN",23,11,Air Force,Ohio State (24),35.1495343,-90.0489801,32.3771126,-86.3386457,40.0068363,-83.0306222
319,Aloha Bowl,12/25/1990,"Honolulu, HI",28,0,Syracuse,Arizona,21.3069444,-157.8583333,43.0391534,-76.1351158,32.2318851,-110.9501094
320,Independence Bowl,12/15/1990,"Shreveport, LA",34,34,Maryland,Louisiana Tech,32.5251516,-93.7501789,38.9869183,-76.9425543,32.5282644,-92.6499298
321,California Bowl,12/8/1990,"Fresno, CA",48,24,San Jose State,Central Michigan,36.7377981,-119.7871247,37.3351874,-121.8810715,43.5819086,-84.7756364
322,Citrus Bowl,1/1/1992,"Orlando, FL",37,13,California (14),Clemson (13),28.5383355,-81.3792365,37.8718992,-122.2585399,34.6738437,-82.8368654
323,Cotton Bowl,1/1/1992,"Dallas, TX",10,2,Florida State (5),Texas A&M (9),32.7766642,-96.79698789999999,30.43495,-84.284994,30.6187558,-96.33647719999999
324,Fiesta Bowl,1/1/1992,"Tempe, AZ",42,17,Penn State (6),Tennessee (10),33.4255104,-111.9400054,40.7982133,-77.8599084,35.9544013,-83.92945639999999
325,Hall of Fame Bowl,1/1/1992,"Tampa, FL",24,17,Syracuse (16),Ohio State (25),27.950575,-82.4571776,43.0391534,-76.1351158,40.0068363,-83.0306222
326,Orange Bowl,1/1/1992,"Miami, FL",22,0,Miami (FL) (1),Nebraska (11),25.7616798,-80.1917902,25.7178924,-80.2746368,40.8201966,-96.70047629999999
327,Peach Bowl,1/1/1992,"Atlanta, GA",37,34,East Carolina (12),North Carolina State (21),33.7489954,-84.3879824,35.6055108,-77.3645653,35.7846633,-78.6820946
328,Rose Bowl,1/1/1992,"Pasadena, CA",34,14,Washington (2),Michigan (4),34.1477849,-118.1445155,47.65533509999999,-122.3035199,42.2780436,-83.7382241
329,Sugar Bowl,1/1/1992,"New Orleans, LA",39,28,Notre Dame (18),Florida (3),29.95106579999999,-90.0715323,41.7055716,-86.2353388,29.6436325,-82.3549302
330,Copper Bowl,12/31/1991,"Tucson, AZ",24,0,Indiana,Baylor,32.2226066,-110.9747108,39.1754487,-86.512627,31.5497007,-97.1143046
331,Sun Bowl,12/31/1991,"El Paso, TX",6,3,UCLA (22),Illinois,31.7618778,-106.4850217,34.068921,-118.4451811,40.1019523,-88.2271615
332,Freedom Bowl,12/30/1991,"Anaheim, CA",28,17,Tulsa (23),San Diego State,33.8365932,-117.9143012,36.1520526,-95.94607529999999,32.7739344,-117.0701349
333,Holiday Bowl,12/30/1991,"San Diego, CA",13,13,Iowa (7),Brigham Young,32.715738,-117.1610838,41.6626963,-91.5548998,40.2518435,-111.6493156
334,Gator Bowl,12/29/1991,"Jacksonville, FL",48,14,Oklahoma (20),Virginia (19),30.3321838,-81.65565099999999,35.2058936,-97.4457137,38.0335529,-78.5079772
335,Independence Bowl,12/29/1991,"Shreveport, LA",24,15,Georgia (24),Arkansas,32.5251516,-93.7501789,33.9480053,-83.3773221,36.0686895,-94.1748471
336,Liberty Bowl,12/29/1991,"Memphis, TN",38,15,Air Force,Mississippi State,35.1495343,-90.0489801,32.3771126,-86.3386457,33.4551742,-88.79437659999999
337,Blockbuster Bowl,12/28/1991,"Miami, FL",30,25,Alabama (8),Colorado (15),25.7616798,-80.1917902,33.2140233,-87.5391418,40.00758099999999,-105.2659417
338,Aloha Bowl,12/25/1991,"Honolulu, HI",18,17,Georgia Tech,Stanford (17),21.3069444,-157.8583333,33.7756178,-84.39628499999999,37.4274745,-122.169719
339,California Bowl,12/14/1991,"Fresno, CA",28,21,Bowling Green State,Fresno State,36.7377981,-119.7871247,41.3797788,-83.6300826,36.81336410000001,-119.7460884
340,Peach Bowl,1/2/1993,"Atlanta, GA",21,17,North Carolina (19),Mississippi State (24),33.7489954,-84.3879824,35.9049122,-79.0469134,33.4551742,-88.79437659999999
341,Blockbuster Bowl,1/1/1993,"Miami, FL",24,3,Stanford (13),Penn State (21),25.7616798,-80.1917902,37.4274745,-122.169719,40.7982133,-77.8599084
342,Citrus Bowl,1/1/1993,"Orlando, FL",21,14,Georgia (8),Ohio State (15),28.5383355,-81.3792365,33.9480053,-83.3773221,40.0068363,-83.0306222
343,Cotton Bowl,1/1/1993,"Dallas, TX",28,3,Notre Dame (5),Texas A&M (4),32.7766642,-96.79698789999999,41.7055716,-86.2353388,30.6187558,-96.33647719999999
344,Fiesta Bowl,1/1/1993,"Tempe, AZ",26,22,Syracuse (6),Colorado (10),33.4255104,-111.9400054,43.0391534,-76.1351158,40.00758099999999,-105.2659417
345,Hall of Fame Bowl,1/1/1993,"Tampa, FL",38,23,Tennessee (17),Boston College (16),27.950575,-82.4571776,35.9544013,-83.92945639999999,42.3355488,-71.16849450000001
346,Orange Bowl,1/1/1993,"Miami, FL",27,14,Florida State (3),Nebraska (11),25.7616798,-80.1917902,30.43495,-84.284994,40.8201966,-96.70047629999999
347,Rose Bowl,1/1/1993,"Pasadena, CA",38,31,Michigan (7),Washington (9),34.1477849,-118.1445155,42.2780436,-83.7382241,47.65533509999999,-122.3035199
348,Sugar Bowl,1/1/1993,"New Orleans, LA",34,13,Alabama (2),Miami (FL) (1),29.95106579999999,-90.0715323,33.2140233,-87.5391418,25.7178924,-80.2746368
349,Gator Bowl,12/31/1992,"Jacksonville, FL",27,10,Florida (14),North Carolina State (12),30.3321838,-81.65565099999999,29.6436325,-82.3549302,35.7846633,-78.6820946
350,Independence Bowl,12/31/1992,"Shreveport, LA",39,35,Wake Forest,Oregon,32.5251516,-93.7501789,36.1354033,-80.27922749999999,44.0448302,-123.0726055
351,Liberty Bowl,12/31/1992,"Memphis, TN",13,0,Mississippi (20),Air Force,35.1495343,-90.0489801,34.3647324,-89.538443,32.3771126,-86.3386457
352,Sun Bowl,12/31/1992,"El Paso, TX",20,15,Baylor,Arizona (22),31.7618778,-106.4850217,31.5497007,-97.1143046,32.2318851,-110.9501094
353,Holiday Bowl,12/30/1992,"San Diego, CA",27,17,Hawaii,Illinois,32.715738,-117.1610838,21.296939,-157.8171118,40.1019523,-88.2271615
354,Copper Bowl,12/29/1992,"Tucson, AZ",31,28,Washington State (18),Utah,32.2226066,-110.9747108,46.7319225,-117.1542121,40.7649368,-111.8421021
355,Freedom Bowl,12/29/1992,"Anaheim, CA",24,7,Fresno State,Southern California (23),33.8365932,-117.9143012,36.81336410000001,-119.7460884,34.0223519,-118.285117
356,Aloha Bowl,12/25/1992,"Honolulu, HI",23,20,Kansas,Brigham Young (25),21.3069444,-157.8583333,38.9543439,-95.2557961,40.2518435,-111.6493156
357,Las Vegas Bowl,12/18/1992,"Las Vegas, NV",35,34,Bowling Green State,Nevada,36.1699412,-115.1398296,41.3797788,-83.6300826,39.5441917,-119.816397
358,Blockbuster Bowl,1/1/1994,"Miami, FL",31,13,Boston College (15),Virginia,25.7616798,-80.1917902,42.3355488,-71.16849450000001,38.0335529,-78.5079772
359,Citrus Bowl,1/1/1994,"Orlando, FL",31,13,Penn State (13),Tennessee (6),28.5383355,-81.3792365,40.7982133,-77.8599084,35.9544013,-83.92945639999999
360,Cotton Bowl,1/1/1994,"Dallas, TX",24,21,Notre Dame (4),Texas A&M (7),32.7766642,-96.79698789999999,41.7055716,-86.2353388,30.6187558,-96.33647719999999
361,Fiesta Bowl,1/1/1994,"Tempe, AZ",29,0,Arizona (16),Miami (FL) (10),33.4255104,-111.9400054,32.2318851,-110.9501094,25.7178924,-80.2746368
362,Hall of Fame Bowl,1/1/1994,"Tampa, FL",42,7,Michigan (23),North Carolina State,27.950575,-82.4571776,42.2780436,-83.7382241,35.7846633,-78.6820946
363,Orange Bowl,1/1/1994,"Miami, FL",18,16,Florida State (1),Nebraska (2),25.7616798,-80.1917902,30.43495,-84.284994,40.8201966,-96.70047629999999
364,Rose Bowl,1/1/1994,"Pasadena, CA",21,16,Wisconsin (9),UCLA (14),34.1477849,-118.1445155,43.076592,-89.4124875,34.068921,-118.4451811
365,Sugar Bowl,1/1/1994,"New Orleans, LA",41,7,Florida (8),West Virginia (3),29.95106579999999,-90.0715323,29.6436325,-82.3549302,39.6480359,-79.9697147
366,Alamo Bowl,12/31/1993,"San Antonio, TX",37,3,California,Iowa,29.4241219,-98.49362819999999,37.8718992,-122.2585399,41.6626963,-91.5548998
367,Gator Bowl,12/31/1993,"Jacksonville, FL",24,10,Alabama (18),North Carolina (12),30.3321838,-81.65565099999999,33.2140233,-87.5391418,35.9049122,-79.0469134
368,Independence Bowl,12/31/1993,"Shreveport, LA",45,20,Virginia Tech (22),Indiana (21),32.5251516,-93.7501789,37.22838429999999,-80.42341669999999,39.1754487,-86.512627
369,Peach Bowl,12/31/1993,"Atlanta, GA",14,13,Clemson (24),Kentucky,33.7489954,-84.3879824,34.6738437,-82.8368654,38.0306511,-84.5039697
370,Freedom Bowl,12/30/1993,"Anaheim, CA",28,21,Southern California,Utah,33.8365932,-117.9143012,34.0223519,-118.285117,40.7649368,-111.8421021
371,Holiday Bowl,12/30/1993,"San Diego, CA",28,21,Ohio State (11),Brigham Young,32.715738,-117.1610838,40.0068363,-83.0306222,40.2518435,-111.6493156
372,Copper Bowl,12/29/1993,"Tucson, AZ",52,17,Kansas State (20),Wyoming,32.2226066,-110.9747108,38.9543439,-95.2557961,41.3148754,-105.5665744
373,Liberty Bowl,12/28/1993,"Memphis, TN",18,7,Louisville (25),Michigan State,35.1495343,-90.0489801,38.2122761,-85.75850229999999,42.701848,-84.4821719
374,Aloha Bowl,12/25/1993,"Honolulu, HI",41,30,Colorado (17),Fresno State (25),21.3069444,-157.8583333,40.00758099999999,-105.2659417,36.81336410000001,-119.7460884
375,Sun Bowl,12/24/1993,"El Paso, TX",41,10,Oklahoma (19),Texas Tech,31.7618778,-106.4850217,35.2058936,-97.4457137,33.5842591,-101.8782822
376,Las Vegas Bowl,12/17/1993,"Las Vegas, NV",42,33,Utah State,Ball State,36.1699412,-115.1398296,39.6081249,-110.802743,40.2049604,-85.40628459999999
377,Carquest Bowl,1/2/1995,"Miami, FL",24,21,South Carolina,West Virginia,25.7616798,-80.1917902,33.9937575,-81.0299186,39.6480359,-79.9697147
378,Citrus Bowl,1/2/1995,"Orlando, FL",24,17,Alabama (6),Ohio State (13),28.5383355,-81.3792365,33.2140233,-87.5391418,40.0068363,-83.0306222
379,Cotton Bowl,1/2/1995,"Dallas, TX",55,14,Southern California (21),Texas Tech,32.7766642,-96.79698789999999,34.0223519,-118.285117,33.5842591,-101.8782822
380,Fiesta Bowl,1/2/1995,"Tempe, AZ",41,24,Colorado (4),Notre Dame,33.4255104,-111.9400054,40.00758099999999,-105.2659417,41.7055716,-86.2353388
381,Hall of Fame Bowl,1/2/1995,"Tampa, FL",34,20,Wisconsin,Duke (25),27.950575,-82.4571776,43.076592,-89.4124875,36.0014258,-78.9382286
382,Rose Bowl,1/2/1995,"Pasadena, CA",38,20,Penn State (2),Oregon (12),34.1477849,-118.1445155,40.7982133,-77.8599084,44.0448302,-123.0726055
383,Sugar Bowl,1/2/1995,"New Orleans, LA",23,17,Florida State (7),Florida (5),29.95106579999999,-90.0715323,30.43495,-84.284994,29.6436325,-82.3549302
384,Orange Bowl,1/1/1995,"Miami, FL",24,17,Nebraska (1),Miami (FL) (3),25.7616798,-80.1917902,40.8201966,-96.70047629999999,25.7178924,-80.2746368
385,Peach Bowl,1/1/1995,"Atlanta, GA",28,24,North Carolina State (23),Mississippi State (16),33.7489954,-84.3879824,35.7846633,-78.6820946,33.4551742,-88.79437659999999
386,Alamo Bowl,12/31/1994,"San Antonio, TX",10,3,Washington State (24),Baylor,29.4241219,-98.49362819999999,46.7319225,-117.1542121,31.5497007,-97.1143046
387,Liberty Bowl,12/31/1994,"Memphis, TN",30,0,Illinois,East Carolina,35.1495343,-90.0489801,40.1019523,-88.2271615,35.6055108,-77.3645653
388,Gator Bowl,12/30/1994,"Gainesville, FL",45,23,Tennessee,Virginia Tech (17),29.6516344,-82.32482619999999,35.9544013,-83.92945639999999,37.22838429999999,-80.42341669999999
389,Holiday Bowl,12/30/1994,"San Diego, CA",24,14,Michigan (20),Colorado State (10),32.715738,-117.1610838,42.2780436,-83.7382241,40.573436,-105.0865473
390,Sun Bowl,12/30/1994,"El Paso, TX",35,31,Texas,North Carolina (19),31.7618778,-106.4850217,30.2849185,-97.7340567,35.9049122,-79.0469134
391,Copper Bowl,12/29/1994,"Tucson, AZ",31,6,Brigham Young (22),Oklahoma,32.2226066,-110.9747108,40.2518435,-111.6493156,35.2058936,-97.4457137
392,Independence Bowl,12/28/1994,"Shreveport, LA",20,10,Virginia (18),Texas Christian,32.5251516,-93.7501789,38.0335529,-78.5079772,32.7095936,-97.3635602
393,Freedom Bowl,12/27/1994,"Anaheim, CA",16,13,Utah (14),Arizona (15),33.8365932,-117.9143012,40.7649368,-111.8421021,32.2318851,-110.9501094
394,Aloha Bowl,12/25/1994,"Honolulu, HI",12,7,Boston College,Kansas State (11),21.3069444,-157.8583333,42.3355488,-71.16849450000001,38.9543439,-95.2557961
395,Las Vegas Bowl,12/15/1994,"Las Vegas, NV",52,24,Nevada-Las Vegas,Central Michigan,36.1699412,-115.1398296,36.1085197,-115.1431709,43.5819086,-84.7756364
396,Fiesta Bowl,1/2/1996,"Tempe, AZ",62,24,Nebraska (1),Florida (2),33.4255104,-111.9400054,40.8201966,-96.70047629999999,29.6436325,-82.3549302
397,Citrus Bowl,1/1/1996,"Orlando, FL",20,14,Tennessee (4),Ohio State (4),28.5383355,-81.3792365,35.9544013,-83.92945639999999,40.0068363,-83.0306222
398,Cotton Bowl,1/1/1996,"Dallas, TX",38,6,Colorado (7),Oregon (12),32.7766642,-96.79698789999999,40.00758099999999,-105.2659417,44.0448302,-123.0726055
399,Gator Bowl,1/1/1996,"Jacksonville, FL",41,0,Syracuse,Clemson (23),30.3321838,-81.65565099999999,43.0391534,-76.1351158,34.6738437,-82.8368654
400,Orange Bowl,1/1/1996,"Miami, FL",31,26,Florida State (8),Notre Dame (6),25.7616798,-80.1917902,30.43495,-84.284994,41.7055716,-86.2353388
401,Outback Bowl,1/1/1996,"Tampa, FL",43,14,Penn State (15),Auburn (16),27.950575,-82.4571776,40.7982133,-77.8599084,32.5933574,-85.4951663
402,Rose Bowl,1/1/1996,"Pasadena, CA",41,32,Southern California (17),Northwestern (3),34.1477849,-118.1445155,34.0223519,-118.285117,45.031563,-93.168573
403,Sugar Bowl,12/31/1995,"New Orleans, LA",28,10,Virginia Tech (13),Texas (9),29.95106579999999,-90.0715323,37.22838429999999,-80.42341669999999,30.2849185,-97.7340567
404,Carquest Bowl,12/30/1995,"Miami, FL",20,10,North Carolina,Arkansas (24),25.7616798,-80.1917902,35.9049122,-79.0469134,36.0686895,-94.1748471
405,Liberty Bowl,12/30/1995,"Memphis, TN",19,13,East Carolina,Stanford,35.1495343,-90.0489801,35.6055108,-77.3645653,37.4274745,-122.169719
406,Peach Bowl,12/30/1995,"Atlanta, GA",34,27,Virginia (18),Georgia,33.7489954,-84.3879824,38.0335529,-78.5079772,33.9480053,-83.3773221
407,Holiday Bowl,12/29/1995,"San Diego, CA",54,21,Kansas State (10),Colorado State,32.715738,-117.1610838,38.9543439,-95.2557961,40.573436,-105.0865473
408,Independence Bowl,12/29/1995,"Shreveport, LA",45,26,Louisiana State,Michigan State,32.5251516,-93.7501789,30.4132579,-91.1800023,42.701848,-84.4821719
409,Sun Bowl,12/29/1995,"El Paso, TX",38,18,Iowa,Washington (20),31.7618778,-106.4850217,41.6626963,-91.5548998,47.65533509999999,-122.3035199
410,Alamo Bowl,12/28/1995,"San Antonio, TX",22,20,Texas A&M (19),Michigan (14),29.4241219,-98.49362819999999,30.6187558,-96.33647719999999,42.2780436,-83.7382241
411,Copper Bowl,12/27/1995,"Tucson, AZ",55,41,Texas Tech,Air Force,32.2226066,-110.9747108,33.5842591,-101.8782822,32.3771126,-86.3386457
412,Aloha Bowl,12/25/1995,"Honolulu, HI",51,30,Kansas (11),UCLA,21.3069444,-157.8583333,38.9543439,-95.2557961,34.068921,-118.4451811
413,Las Vegas Bowl,12/14/1995,"Las Vegas, NV",40,37,Toledo (25),Nevada,36.1699412,-115.1398296,41.6578804,-83.6142374,39.5441917,-119.816397
414,Sugar Bowl,1/2/1997,"New Orleans, LA",52,20,Florida (3),Florida State (1),29.95106579999999,-90.0715323,29.6436325,-82.3549302,30.43495,-84.284994
415,Citrus Bowl,1/1/1997,"Orlando, FL",48,28,Tennessee (9),Northwestern (11),28.5383355,-81.3792365,35.9544013,-83.92945639999999,45.031563,-93.168573
416,Cotton Bowl,1/1/1997,"Dallas, TX",19,15,Brigham Young (5),Kansas State (14),32.7766642,-96.79698789999999,40.2518435,-111.6493156,38.9543439,-95.2557961
417,Fiesta Bowl,1/1/1997,"Tempe, AZ",38,15,Penn State (7),Texas (20),33.4255104,-111.9400054,40.7982133,-77.8599084,30.2849185,-97.7340567
418,Gator Bowl,1/1/1997,"Jacksonville, FL",20,13,North Carolina (12),West Virginia (25),30.3321838,-81.65565099999999,35.9049122,-79.0469134,39.6480359,-79.9697147
419,Outback Bowl,1/1/1997,"Tampa, FL",17,14,Alabama (16),Michigan (15),27.950575,-82.4571776,33.2140233,-87.5391418,42.2780436,-83.7382241
420,Rose Bowl,1/1/1997,"Pasadena, CA",20,17,Ohio State (4),Arizona State (2),34.1477849,-118.1445155,40.0068363,-83.0306222,32.2318851,-110.9501094
421,Independence Bowl,12/31/1996,"Shreveport, LA",32,29,Auburn,Army (24),32.5251516,-93.7501789,32.5933574,-85.4951663,35.9587748,-83.9279907
422,Orange Bowl,12/31/1996,"Miami, FL",41,21,Nebraska (6),Virginia Tech (10),25.7616798,-80.1917902,40.8201966,-96.70047629999999,37.22838429999999,-80.42341669999999
423,Sun Bowl,12/31/1996,"El Paso, TX",38,0,Stanford,Michigan State,31.7618778,-106.4850217,37.4274745,-122.169719,42.701848,-84.4821719
424,Holiday Bowl,12/30/1996,"San Diego, CA",33,21,Colorado (8),Washington (13),32.715738,-117.1610838,40.00758099999999,-105.2659417,47.65533509999999,-122.3035199
425,Alamo Bowl,12/29/1996,"San Antonio, TX",27,0,Iowa (21),Texas Tech,29.4241219,-98.49362819999999,41.6626963,-91.5548998,33.5842591,-101.8782822
426,Peach Bowl,12/28/1996,"Atlanta, GA",10,7,Louisiana State (17),Clemson,33.7489954,-84.3879824,30.4132579,-91.1800023,34.6738437,-82.8368654
427,Carquest Bowl,12/27/1996,"Miami, FL",31,21,Miami (FL) (19),Virginia,25.7616798,-80.1917902,25.7178924,-80.2746368,38.0335529,-78.5079772
428,Copper Bowl,12/27/1996,"Tucson, AZ",38,10,Wisconsin,Utah,32.2226066,-110.9747108,43.076592,-89.4124875,40.7649368,-111.8421021
429,Liberty Bowl,12/27/1996,"Memphis, TN",30,17,Syracuse (23),Houston,35.1495343,-90.0489801,43.0391534,-76.1351158,29.7199489,-95.3422334
430,Aloha Bowl,12/25/1996,"Honolulu, HI",42,38,Navy,California,21.3069444,-157.8583333,38.98206580000001,-76.4839405,37.8718992,-122.2585399
431,Las Vegas Bowl,12/19/1996,"Las Vegas, NV",18,15,Nevada,Ball State,36.1699412,-115.1398296,39.5441917,-119.816397,40.2049604,-85.40628459999999
432,Orange Bowl,1/2/1998,"Miami, FL",42,17,Nebraska (2),Tennessee (3),25.7616798,-80.1917902,40.8201966,-96.70047629999999,35.9544013,-83.92945639999999
433,Peach Bowl,1/2/1998,"Atlanta, GA",21,17,Auburn (13),Clemson,33.7489954,-84.3879824,32.5933574,-85.4951663,34.6738437,-82.8368654
434,Citrus Bowl,1/1/1998,"Orlando, FL",21,6,Florida (6),Penn State (11),28.5383355,-81.3792365,29.6436325,-82.3549302,40.7982133,-77.8599084
435,Cotton Bowl,1/1/1998,"Dallas, TX",29,23,UCLA (5),Texas A&M (20),32.7766642,-96.79698789999999,34.068921,-118.4451811,30.6187558,-96.33647719999999
436,Gator Bowl,1/1/1998,"Jacksonville, FL",42,3,North Carolina (7),Virginia Tech,30.3321838,-81.65565099999999,35.9049122,-79.0469134,37.22838429999999,-80.42341669999999
437,Outback Bowl,1/1/1998,"Tampa, FL",33,6,Georgia (12),Wisconsin,27.950575,-82.4571776,33.9480053,-83.3773221,43.076592,-89.4124875
438,Rose Bowl,1/1/1998,"Pasadena, CA",21,16,Michigan (1),Washington State (8),34.1477849,-118.1445155,42.2780436,-83.7382241,46.7319225,-117.1542121
439,Sugar Bowl,1/1/1998,"New Orleans, LA",31,14,Florida State (4),Ohio State (9),29.95106579999999,-90.0715323,30.43495,-84.284994,40.0068363,-83.0306222
440,Fiesta Bowl,12/31/1997,"Tempe, AZ",35,18,Kansas State (10),Syracuse (14),33.4255104,-111.9400054,38.9543439,-95.2557961,43.0391534,-76.1351158
441,Liberty Bowl,12/31/1997,"Memphis, TN",41,7,Southern Mississippi (22),Pittsburgh,35.1495343,-90.0489801,31.3298941,-89.3340439,40.4443533,-79.960835
442,Sun Bowl,12/31/1997,"El Paso, TX",17,7,Arizona State (16),Iowa,31.7618778,-106.4850217,32.2318851,-110.9501094,41.6626963,-91.5548998
443,Alamo Bowl,12/30/1997,"San Antonio, TX",33,20,Purdue (17),Oklahoma State (24),29.4241219,-98.49362819999999,40.4237054,-86.92119459999999,36.1270236,-97.07372219999999
444,Carquest Bowl,12/29/1997,"Miami, FL",35,30,Georgia Tech,West Virginia,25.7616798,-80.1917902,33.7756178,-84.39628499999999,39.6480359,-79.9697147
445,Holiday Bowl,12/29/1997,"San Diego, CA",35,24,Colorado State (18),Missouri (19),32.715738,-117.1610838,40.573436,-105.0865473,38.9403808,-92.32773750000001
446,Humanitarian Bowl,12/29/1997,"Boise, ID",35,19,Cincinnati,Utah State,43.6150186,-116.2023137,39.1329219,-84.51495039999999,39.6081249,-110.802743
447,Independence Bowl,12/28/1997,"Shreveport, LA",27,9,Louisiana State (15),Notre Dame,32.5251516,-93.7501789,30.4132579,-91.1800023,41.7055716,-86.2353388
448,Insight Bowl,12/27/1997,"Tucson, AZ",20,14,Arizona,New Mexico,32.2226066,-110.9747108,32.2318851,-110.9501094,35.0843187,-106.6197812
449,Motor City Bowl,12/26/1997,"Pontiac, MI",34,31,Mississippi,Marshall,42.6389216,-83.29104679999999,34.3647324,-89.538443,38.4235252,-82.42641449999999
450,Aloha Bowl,12/25/1997,"Honolulu, HI",51,23,Washington (21),Michigan State (25),21.3069444,-157.8583333,47.65533509999999,-122.3035199,42.701848,-84.4821719
451,Las Vegas Bowl,12/20/1997,"Las Vegas, NV",41,13,Oregon,Air Force (23),36.1699412,-115.1398296,44.0448302,-123.0726055,32.3771126,-86.3386457
452,Fiesta Bowl,1/4/1999,"Tempe, AZ",23,16,Tennessee (1),Florida State (2),33.4255104,-111.9400054,35.9544013,-83.92945639999999,30.43495,-84.284994
453,Orange Bowl,1/2/1999,"Miami, FL",31,10,Florida (7),Syracuse (18),25.7616798,-80.1917902,29.6436325,-82.3549302,43.0391534,-76.1351158
454,Citrus Bowl,1/1/1999,"Orlando, FL",45,31,Michigan (15),Arkansas (11),28.5383355,-81.3792365,42.2780436,-83.7382241,36.0686895,-94.1748471
455,Cotton Bowl,1/1/1999,"Dallas, TX",38,11,Texas (20),Mississippi State (25),32.7766642,-96.79698789999999,30.2849185,-97.7340567,33.4551742,-88.79437659999999
456,Gator Bowl,1/1/1999,"Jacksonville, FL",35,28,Georgia Tech (12),Notre Dame (17),30.3321838,-81.65565099999999,33.7756178,-84.39628499999999,41.7055716,-86.2353388
457,Outback Bowl,1/1/1999,"Tampa, FL",26,14,Penn State (22),Kentucky,27.950575,-82.4571776,40.7982133,-77.8599084,38.0306511,-84.5039697
458,Rose Bowl,1/1/1999,"Pasadena, CA",38,31,Wisconsin (9),UCLA (6),34.1477849,-118.1445155,43.076592,-89.4124875,34.068921,-118.4451811
459,Sugar Bowl,1/1/1999,"New Orleans, LA",24,14,Ohio State (3),Texas A&M (8),29.95106579999999,-90.0715323,40.0068363,-83.0306222,30.6187558,-96.33647719999999
460,Independence Bowl,12/31/1998,"Shreveport, LA",35,18,Mississippi,Texas Tech,32.5251516,-93.7501789,34.3647324,-89.538443,33.5842591,-101.8782822
461,Liberty Bowl,12/31/1998,"Memphis, TN",41,27,Tulane (10),Brigham Young,35.1495343,-90.0489801,29.9407282,-90.12031669999999,40.2518435,-111.6493156
462,Peach Bowl,12/31/1998,"Atlanta, GA",35,33,Georgia (19),Virginia (13),33.7489954,-84.3879824,33.9480053,-83.3773221,38.0335529,-78.5079772
463,Sun Bowl,12/31/1998,"El Paso, TX",28,19,Texas Christian,Southern California,31.7618778,-106.4850217,32.7095936,-97.3635602,34.0223519,-118.285117
464,Holiday Bowl,12/30/1998,"San Diego, CA",23,20,Arizona (5),Nebraska (14),32.715738,-117.1610838,32.2318851,-110.9501094,40.8201966,-96.70047629999999
465,Humanitarian Bowl,12/30/1998,"Boise, ID",42,35,Idaho,Southern Mississippi,43.6150186,-116.2023137,46.7288124,-117.0126084,31.3298941,-89.3340439
466,Alamo Bowl,12/29/1998,"San Antonio, TX",37,34,Purdue,Kansas State (4),29.4241219,-98.49362819999999,40.4237054,-86.92119459999999,38.9543439,-95.2557961
467,Micron PC Bowl,12/29/1998,"Miami, FL",46,23,Miami (FL) (24),North Carolina State,25.7616798,-80.1917902,25.7178924,-80.2746368,35.7846633,-78.6820946
468,Music City Bowl,12/29/1998,"Nashville, TN",38,7,Virginia Tech,Alabama,36.1626638,-86.7816016,37.22838429999999,-80.42341669999999,33.2140233,-87.5391418
469,Insight Bowl,12/26/1998,"Tucson, AZ",34,31,Missouri (23),West Virginia,32.2226066,-110.9747108,38.9403808,-92.32773750000001,39.6480359,-79.9697147
470,Aloha Classic,12/25/1998,"Honolulu, HI",51,43,Colorado,Oregon (21),21.3069444,-157.8583333,40.00758099999999,-105.2659417,44.0448302,-123.0726055
471,Oahu Classic,12/25/1998,"Honolulu, HI",45,25,Air Force (16),Washington,21.3069444,-157.8583333,32.3771126,-86.3386457,47.65533509999999,-122.3035199
472,Motor City Bowl,12/23/1998,"Pontiac, MI",48,29,Marshall,Louisville,42.6389216,-83.29104679999999,38.4235252,-82.42641449999999,38.2122761,-85.75850229999999
473,Las Vegas Bowl,12/19/1998,"Las Vegas, NV",20,13,North Carolina,San Diego State,36.1699412,-115.1398296,35.9049122,-79.0469134,32.7739344,-117.0701349
474,Sugar Bowl,1/4/2000,"New Orleans, LA",46,29,Florida State (1),Virginia Tech (2),29.95106579999999,-90.0715323,30.43495,-84.284994,37.22838429999999,-80.42341669999999
475,Fiesta Bowl,1/2/2000,"Tempe, AZ",31,21,Nebraska (3),Tennessee (6),33.4255104,-111.9400054,40.8201966,-96.70047629999999,35.9544013,-83.92945639999999
476,Citrus Bowl,1/1/2000,"Orlando, FL",37,34,Michigan State (9),Florida (10),28.5383355,-81.3792365,42.701848,-84.4821719,29.6436325,-82.3549302
477,Cotton Bowl,1/1/2000,"Dallas, TX",27,6,Arkansas (24),Texas (14),32.7766642,-96.79698789999999,36.0686895,-94.1748471,30.2849185,-97.7340567
478,Gator Bowl,1/1/2000,"Jacksonville, FL",28,13,Miami (FL) (23),Georgia Tech (17),30.3321838,-81.65565099999999,25.7178924,-80.2746368,33.7756178,-84.39628499999999
479,Orange Bowl,1/1/2000,"Miami, FL",35,34,Michigan (8),Alabama (5),25.7616798,-80.1917902,42.2780436,-83.7382241,33.2140233,-87.5391418
480,Outback Bowl,1/1/2000,"Tampa, FL",28,25,Georgia (21),Purdue (19),27.950575,-82.4571776,33.9480053,-83.3773221,40.4237054,-86.92119459999999
